date_key,date,year,quarter,month_num,month_name,month_label,financial_year,month_index,ports_reporting,is_complete_month
201201,2012-01-01,2012,2012 Q1,1,Jan,Jan 2012,2012,0,9,1
201202,2012-02-01,2012,2012 Q1,2,Feb,Feb 2012,2012,1,9,1
201203,2012-03-01,2012,2012 Q1,3,Mar,Mar 2012,2012,2,9,1
201204,2012-04-01,2012,2012 Q2,4,Apr,Apr 2012,2012,3,9,1
201205,2012-05-01,2012,2012 Q2,5,May,May 2012,2012,4,9,1
201206,2012-06-01,2012,2012 Q2,6,Jun,Jun 2012,2012,5,9,1
201207,2012-07-01,2012,2012 Q3,7,Jul,Jul 2012,2013,6,9,1
201208,2012-08-01,2012,2012 Q3,8,Aug,Aug 2012,2013,7,9,1
201209,2012-09-01,2012,2012 Q3,9,Sep,Sep 2012,2013,8,9,1
201210,2012-10-01,2012,2012 Q4,10,Oct,Oct 2012,2013,9,9,1
201211,2012-11-01,2012,2012 Q4,11,Nov,Nov 2012,2013,10,9,1
201212,2012-12-01,2012,2012 Q4,12,Dec,Dec 2012,2013,11,9,1
201301,2013-01-01,2013,2013 Q1,1,Jan,Jan 2013,2013,12,9,1
201302,2013-02-01,2013,2013 Q1,2,Feb,Feb 2013,2013,13,9,1
201303,2013-03-01,2013,2013 Q1,3,Mar,Mar 2013,2013,14,9,1
201304,2013-04-01,2013,2013 Q2,4,Apr,Apr 2013,2013,15,9,1
201305,2013-05-01,2013,2013 Q2,5,May,May 2013,2013,16,9,1
201306,2013-06-01,2013,2013 Q2,6,Jun,Jun 2013,2013,17,9,1
201307,2013-07-01,2013,2013 Q3,7,Jul,Jul 2013,2014,18,9,1
201308,2013-08-01,2013,2013 Q3,8,Aug,Aug 2013,2014,19,9,1
201309,2013-09-01,2013,2013 Q3,9,Sep,Sep 2013,2014,20,9,1
201310,2013-10-01,2013,2013 Q4,10,Oct,Oct 2013,2014,21,9,1
201311,2013-11-01,2013,2013 Q4,11,Nov,Nov 2013,2014,22,9,1
201312,2013-12-01,2013,2013 Q4,12,Dec,Dec 2013,2014,23,9,1
201401,2014-01-01,2014,2014 Q1,1,Jan,Jan 2014,2014,24,9,1
201402,2014-02-01,2014,2014 Q1,2,Feb,Feb 2014,2014,25,9,1
201403,2014-03-01,2014,2014 Q1,3,Mar,Mar 2014,2014,26,9,1
201404,2014-04-01,2014,2014 Q2,4,Apr,Apr 2014,2014,27,9,1
201405,2014-05-01,2014,2014 Q2,5,May,May 2014,2014,28,9,1
201406,2014-06-01,2014,2014 Q2,6,Jun,Jun 2014,2014,29,9,1
201407,2014-07-01,2014,2014 Q3,7,Jul,Jul 2014,2015,30,9,1
