date_key,port_key,container_type_key,trade_key,load_status,teu,loaded_teu,empty_teu,tonnes
202606,6,1,1,Empty,2577,0,2577,0
202606,3,1,1,Empty,149,0,149,0
202606,1,1,1,Empty,286,0,286,0
202606,4,1,1,Empty,1,0,1,0
202606,2,1,1,Empty,458,0,458,0
202606,8,1,1,Empty,28,0,28,0
202606,5,1,1,Empty,100,0,100,0
202606,6,1,1,Loaded,4691,4691,0,85533
202606,3,1,1,Loaded,1496,1496,0,27841
202606,1,1,1,Loaded,685,685,0,14183
202606,4,1,1,Loaded,215,215,0,4150
202606,2,1,1,Loaded,1473,1473,0,26339
202606,8,1,1,Loaded,141,141,0,2514
202606,5,1,1,Loaded,657,657,0,12015
202606,9,1,1,Loaded,474,474,0,9763
202606,6,2,1,Empty,18,0,18,0
202606,3,2,1,Empty,9,0,9,0
202606,1,2,1,Empty,1,0,1,0
202606,2,2,1,Empty,17,0,17,0
202606,5,2,1,Empty,6,0,6,0
202606,6,2,1,Loaded,1547,1547,0,23669
202606,3,2,1,Loaded,274,274,0,4054
202606,1,2,1,Loaded,73,73,0,1037
202606,4,2,1,Loaded,37,37,0,503
202606,2,2,1,Loaded,320,320,0,4845
202606,8,2,1,Loaded,30,30,0,474
202606,5,2,1,Loaded,404,404,0,6398
202606,9,2,1,Loaded,15,15,0,220
202606,6,3,1,Empty,2200,0,2200,0
202606,3,3,1,Empty,200,0,200,0
202606,1,3,1,Empty,124,0,124,0
202606,2,3,1,Empty,756,0,756,0
202606,8,3,1,Empty,54,0,54,0
202606,5,3,1,Empty,252,0,252,0
202606,9,3,1,Empty,12,0,12,0
202606,6,3,1,Loaded,18964,18964,0,208154
202606,3,3,1,Loaded,3168,3168,0,37760
202606,1,3,1,Loaded,1900,1900,0,24477
202606,4,3,1,Loaded,594,594,0,7317
202606,2,3,1,Loaded,6804,6804,0,84233
202606,8,3,1,Loaded,148,148,0,1820
202606,5,3,1,Loaded,6232,6232,0,79749
202606,9,3,1,Loaded,804,804,0,9885
202606,6,4,1,Empty,574,0,574,0
202606,3,4,1,Empty,90,0,90,0
202606,1,4,1,Empty,4,0,4,0
202606,4,4,1,Empty,2,0,2,0
202606,2,4,1,Empty,38,0,38,0
202606,8,4,1,Empty,6,0,6,0
202606,5,4,1,Empty,72,0,72,0
202606,6,4,1,Loaded,13864,13864,0,160304
202606,3,4,1,Loaded,5372,5372,0,60211
202606,1,4,1,Loaded,1284,1284,0,15229
202606,4,4,1,Loaded,668,668,0,7447
202606,2,4,1,Loaded,2402,2402,0,29338
202606,8,4,1,Loaded,480,480,0,5889
202606,5,4,1,Loaded,4006,4006,0,47542
202606,9,4,1,Loaded,246,246,0,3021
202606,6,1,2,Empty,376,0,376,0
202606,3,1,2,Empty,362,0,362,0
202606,1,1,2,Empty,108,0,108,0
202606,4,1,2,Empty,87,0,87,0
202606,2,1,2,Empty,27,0,27,0
202606,5,1,2,Empty,15,0,15,0
202606,9,1,2,Empty,819,0,819,0
202606,6,1,2,Loaded,4415,4415,0,76963
202606,3,1,2,Loaded,700,700,0,13392
202606,1,1,2,Loaded,639,639,0,10325
202606,4,1,2,Loaded,184,184,0,3010
202606,2,1,2,Loaded,2355,2355,0,36691
202606,8,1,2,Loaded,515,515,0,11954
202606,5,1,2,Loaded,327,327,0,6554
202606,9,1,2,Loaded,462,462,0,10314
202606,6,2,2,Empty,868,0,868,0
202606,3,2,2,Empty,90,0,90,0
202606,1,2,2,Empty,71,0,71,0
202606,4,2,2,Empty,153,0,153,0
202606,2,2,2,Empty,256,0,256,0
202606,8,2,2,Empty,85,0,85,0
202606,5,2,2,Empty,236,0,236,0
202606,6,2,2,Loaded,121,121,0,1084
202606,3,2,2,Loaded,12,12,0,98
202606,1,2,2,Loaded,9,9,0,117
202606,2,2,2,Loaded,54,54,0,447
202606,8,2,2,Loaded,3,3,0,23
202606,5,2,2,Loaded,2,2,0,23
202606,6,3,2,Empty,4658,0,4658,0
202606,3,3,2,Empty,578,0,578,0
202606,1,3,2,Empty,152,0,152,0
202606,4,3,2,Empty,660,0,660,0
202606,2,3,2,Empty,640,0,640,0
202606,5,3,2,Empty,2434,0,2434,0
202606,9,3,2,Empty,700,0,700,0
202606,6,3,2,Loaded,9802,9802,0,83837
202606,3,3,2,Loaded,962,962,0,8629
202606,1,3,2,Loaded,1124,1124,0,7011
202606,4,3,2,Loaded,360,360,0,2580
202606,2,3,2,Loaded,5896,5896,0,44929
202606,8,3,2,Loaded,106,106,0,939
202606,5,3,2,Loaded,540,540,0,4589
202606,9,3,2,Loaded,158,158,0,1154
202606,6,4,2,Empty,9302,0,9302,0
202606,3,4,2,Empty,2456,0,2456,0
202606,1,4,2,Empty,320,0,320,0
202606,4,4,2,Empty,698,0,698,0
202606,2,4,2,Empty,1794,0,1794,0
202606,8,4,2,Empty,1374,0,1374,0
202606,5,4,2,Empty,1388,0,1388,0
202606,9,4,2,Empty,220,0,220,0
202606,6,4,2,Loaded,1590,1590,0,14186
202606,3,4,2,Loaded,226,226,0,2383
202606,1,4,2,Loaded,58,58,0,431
202606,4,4,2,Loaded,176,176,0,1192
202606,2,4,2,Loaded,638,638,0,5688
202606,5,4,2,Loaded,72,72,0,738
202605,6,1,1,Empty,2353,0,2353,0
202605,3,1,1,Empty,231,0,231,0
202605,1,1,1,Empty,535,0,535,0
202605,4,1,1,Empty,4,0,4,0
202605,2,1,1,Empty,562,0,562,0
202605,8,1,1,Empty,23,0,23,0
202605,5,1,1,Empty,24,0,24,0
202605,9,1,1,Empty,1,0,1,0
202605,6,1,1,Loaded,5127,5127,0,93894
202605,3,1,1,Loaded,1471,1471,0,26274
202605,1,1,1,Loaded,1284,1284,0,27538
202605,4,1,1,Loaded,182,182,0,3406
202605,2,1,1,Loaded,1492,1492,0,27106
202605,8,1,1,Loaded,101,101,0,1780
202605,5,1,1,Loaded,633,633,0,11383
202605,9,1,1,Loaded,389,389,0,8099
202605,6,2,1,Empty,36,0,36,0
202605,3,2,1,Empty,1,0,1,0
202605,4,2,1,Empty,3,0,3,0
202605,2,2,1,Empty,13,0,13,0
202605,5,2,1,Empty,1,0,1,0
202605,9,2,1,Empty,1,0,1,0
202605,6,2,1,Loaded,1807,1807,0,28642
202605,3,2,1,Loaded,197,197,0,2726
202605,1,2,1,Loaded,263,263,0,4145
202605,4,2,1,Loaded,33,33,0,475
202605,2,2,1,Loaded,342,342,0,4945
202605,8,2,1,Loaded,21,21,0,356
202605,5,2,1,Loaded,418,418,0,6723
202605,9,2,1,Loaded,15,15,0,225
202605,6,3,1,Empty,3274,0,3274,0
202605,3,3,1,Empty,124,0,124,0
202605,1,3,1,Empty,116,0,116,0
202605,4,3,1,Empty,12,0,12,0
202605,2,3,1,Empty,648,0,648,0
202605,8,3,1,Empty,62,0,62,0
202605,5,3,1,Empty,228,0,228,0
202605,9,3,1,Empty,4,0,4,0
202605,6,3,1,Loaded,22396,22396,0,254524
202605,3,3,1,Loaded,2712,2712,0,32413
202605,1,3,1,Loaded,3028,3028,0,38162
202605,4,3,1,Loaded,700,700,0,8597
202605,2,3,1,Loaded,6474,6474,0,82808
202605,8,3,1,Loaded,398,398,0,4949
202605,5,3,1,Loaded,5172,5172,0,65899
202605,9,3,1,Loaded,884,884,0,11171
202605,6,4,1,Empty,342,0,342,0
202605,3,4,1,Empty,52,0,52,0
202605,1,4,1,Empty,8,0,8,0
202605,4,4,1,Empty,18,0,18,0
202605,2,4,1,Empty,128,0,128,0
202605,8,4,1,Empty,14,0,14,0
202605,5,4,1,Empty,20,0,20,0
202605,9,4,1,Empty,10,0,10,0
202605,6,4,1,Loaded,17942,17942,0,204533
202605,3,4,1,Loaded,6260,6260,0,70412
202605,1,4,1,Loaded,2954,2954,0,34400
202605,4,4,1,Loaded,468,468,0,5345
202605,2,4,1,Loaded,2924,2924,0,35869
202605,8,4,1,Loaded,518,518,0,6070
202605,5,4,1,Loaded,4330,4330,0,51998
202605,9,4,1,Loaded,306,306,0,3775
202605,6,1,2,Empty,423,0,423,0
202605,3,1,2,Empty,38,0,38,0
202605,1,1,2,Empty,180,0,180,0
202605,4,1,2,Empty,124,0,124,0
202605,2,1,2,Empty,9,0,9,0
202605,5,1,2,Empty,32,0,32,0
202605,9,1,2,Empty,401,0,401,0
202605,6,1,2,Loaded,4265,4265,0,71860
202605,3,1,2,Loaded,1057,1057,0,20968
202605,1,1,2,Loaded,884,884,0,14095
202605,4,1,2,Loaded,89,89,0,1442
202605,2,1,2,Loaded,2487,2487,0,38451
202605,8,1,2,Loaded,215,215,0,4885
202605,5,1,2,Loaded,206,206,0,3616
202605,9,1,2,Loaded,405,405,0,8063
202605,6,2,2,Empty,877,0,877,0
202605,3,2,2,Empty,426,0,426,0
202605,1,2,2,Empty,114,0,114,0
202605,4,2,2,Empty,56,0,56,0
202605,2,2,2,Empty,31,0,31,0
202605,8,2,2,Empty,85,0,85,0
202605,5,2,2,Empty,418,0,418,0
202605,9,2,2,Empty,155,0,155,0
202605,6,2,2,Loaded,103,103,0,867
202605,3,2,2,Loaded,11,11,0,81
202605,1,2,2,Loaded,13,13,0,149
202605,4,2,2,Loaded,3,3,0,46
202605,2,2,2,Loaded,93,93,0,704
202605,8,2,2,Loaded,1,1,0,8
202605,5,2,2,Loaded,2,2,0,32
202605,9,2,2,Loaded,1,1,0,2
202605,6,3,2,Empty,4836,0,4836,0
202605,3,3,2,Empty,378,0,378,0
202605,1,3,2,Empty,588,0,588,0
202605,4,3,2,Empty,576,0,576,0
202605,2,3,2,Empty,112,0,112,0
202605,8,3,2,Empty,218,0,218,0
202605,5,3,2,Empty,2740,0,2740,0
202605,9,3,2,Empty,1370,0,1370,0
202605,6,3,2,Loaded,11004,11004,0,91509
202605,3,3,2,Loaded,1356,1356,0,12210
202605,1,3,2,Loaded,1638,1638,0,11246
202605,4,3,2,Loaded,102,102,0,531
202605,2,3,2,Loaded,5976,5976,0,46100
202605,8,3,2,Loaded,122,122,0,1272
202605,5,3,2,Loaded,514,514,0,4835
202605,9,3,2,Loaded,364,364,0,2685
202605,6,4,2,Empty,10160,0,10160,0
202605,3,4,2,Empty,6352,0,6352,0
202605,1,4,2,Empty,836,0,836,0
202605,4,4,2,Empty,1984,0,1984,0
202605,2,4,2,Empty,1118,0,1118,0
202605,8,4,2,Empty,1442,0,1442,0
202605,5,4,2,Empty,2122,0,2122,0
202605,9,4,2,Empty,426,0,426,0
202605,6,4,2,Loaded,1948,1948,0,16659
202605,3,4,2,Loaded,360,360,0,3720
202605,1,4,2,Loaded,80,80,0,725
202605,4,4,2,Loaded,58,58,0,420
202605,2,4,2,Loaded,872,872,0,6873
202605,5,4,2,Loaded,46,46,0,428
202605,9,4,2,Loaded,20,20,0,252
202604,6,1,1,Empty,1139,0,1139,0
202604,3,1,1,Empty,110,0,110,0
202604,1,1,1,Empty,356,0,356,0
202604,4,1,1,Empty,55,0,55,0
202604,2,1,1,Empty,530,0,530,0
202604,8,1,1,Empty,138,0,138,0
202604,5,1,1,Empty,33,0,33,0
202604,9,1,1,Empty,3,0,3,0
202604,6,1,1,Loaded,4486,4486,0,81928
202604,3,1,1,Loaded,1545,1545,0,27631
202604,1,1,1,Loaded,839,839,0,17021
202604,4,1,1,Loaded,204,204,0,3875
202604,2,1,1,Loaded,1453,1453,0,26694
202604,8,1,1,Loaded,152,152,0,2675
202604,5,1,1,Loaded,602,602,0,10927
202604,9,1,1,Loaded,403,403,0,8512
202604,6,2,1,Empty,28,0,28,0
202604,3,2,1,Empty,1,0,1,0
202604,2,2,1,Empty,5,0,5,0
202604,8,2,1,Empty,4,0,4,0
202604,5,2,1,Empty,2,0,2,0
202604,6,2,1,Loaded,1534,1534,0,24251
202604,3,2,1,Loaded,213,213,0,2840
202604,1,2,1,Loaded,167,167,0,2631
202604,4,2,1,Loaded,32,32,0,460
202604,2,2,1,Loaded,326,326,0,4914
202604,8,2,1,Loaded,19,19,0,301
202604,5,2,1,Loaded,288,288,0,4477
202604,9,2,1,Loaded,7,7,0,110
202604,6,3,1,Empty,2874,0,2874,0
202604,3,3,1,Empty,60,0,60,0
202604,1,3,1,Empty,68,0,68,0
202604,2,3,1,Empty,788,0,788,0
202604,8,3,1,Empty,154,0,154,0
202604,5,3,1,Empty,162,0,162,0
202604,6,3,1,Loaded,18738,18738,0,209999
202604,3,3,1,Loaded,2098,2098,0,24459
202604,1,3,1,Loaded,3076,3076,0,39066
202604,4,3,1,Loaded,504,504,0,5990
202604,2,3,1,Loaded,5594,5594,0,70735
202604,8,3,1,Loaded,352,352,0,4364
202604,5,3,1,Loaded,4784,4784,0,60491
202604,9,3,1,Loaded,1308,1308,0,17143
202604,6,4,1,Empty,284,0,284,0
202604,3,4,1,Empty,16,0,16,0
202604,1,4,1,Empty,2,0,2,0
202604,2,4,1,Empty,30,0,30,0
202604,5,4,1,Empty,16,0,16,0
202604,6,4,1,Loaded,15294,15294,0,173511
202604,3,4,1,Loaded,7492,7492,0,85513
202604,1,4,1,Loaded,2530,2530,0,29433
202604,4,4,1,Loaded,496,496,0,5646
202604,2,4,1,Loaded,2526,2526,0,30547
202604,8,4,1,Loaded,694,694,0,8333
202604,5,4,1,Loaded,3520,3520,0,42539
202604,9,4,1,Loaded,196,196,0,2376
202604,6,1,2,Empty,596,0,596,0
202604,3,1,2,Empty,185,0,185,0
202604,1,1,2,Empty,54,0,54,0
202604,4,1,2,Empty,46,0,46,0
202604,2,1,2,Empty,20,0,20,0
202604,5,1,2,Empty,19,0,19,0
202604,9,1,2,Empty,570,0,570,0
202604,6,1,2,Loaded,3612,3612,0,63189
202604,3,1,2,Loaded,877,877,0,18346
202604,1,1,2,Loaded,827,827,0,14021
202604,4,1,2,Loaded,66,66,0,859
202604,2,1,2,Loaded,2122,2122,0,33211
202604,8,1,2,Loaded,173,173,0,3743
202604,5,1,2,Loaded,263,263,0,4746
202604,9,1,2,Loaded,170,170,0,3732
202604,6,2,2,Empty,411,0,411,0
202604,3,2,2,Empty,100,0,100,0
202604,1,2,2,Empty,380,0,380,0
202604,4,2,2,Empty,87,0,87,0
202604,2,2,2,Empty,113,0,113,0
202604,8,2,2,Empty,26,0,26,0
202604,5,2,2,Empty,87,0,87,0
202604,9,2,2,Empty,17,0,17,0
202604,6,2,2,Loaded,104,104,0,956
202604,3,2,2,Loaded,9,9,0,71
202604,1,2,2,Loaded,13,13,0,112
202604,4,2,2,Loaded,2,2,0,38
202604,2,2,2,Loaded,66,66,0,396
202604,5,2,2,Loaded,1,1,0,8
202604,6,3,2,Empty,5472,0,5472,0
202604,3,3,2,Empty,92,0,92,0
