"","Year","Quarter","Month","Trade","Container Type","Nz Port","Teu","Full Teu","Tonnes"
"1","2026","2026 Q2","Jun 2026","Export","20ft dry","Port of Tauranga","2577","0","0"
"2","2026","2026 Q2","Jun 2026","Export","20ft dry","Napier Port","149","0","0"
"3","2026","2026 Q2","Jun 2026","Export","20ft dry","CentrePort","286","0","0"
"4","2026","2026 Q2","Jun 2026","Export","20ft dry","Port Nelson","1","0","0"
"5","2026","2026 Q2","Jun 2026","Export","20ft dry","Lyttelton","458","0","0"
"6","2026","2026 Q2","Jun 2026","Export","20ft dry","PrimePort Timaru","28","0","0"
"7","2026","2026 Q2","Jun 2026","Export","20ft dry","Port Otago","100","0","0"
"8","2026","2026 Q2","Jun 2026","Export","20ft dry","Port of Tauranga","4691","4691","85533"
"9","2026","2026 Q2","Jun 2026","Export","20ft dry","Napier Port","1496","1496","27841"
"10","2026","2026 Q2","Jun 2026","Export","20ft dry","CentrePort","685","685","14183"
"11","2026","2026 Q2","Jun 2026","Export","20ft dry","Port Nelson","215","215","4150"
"12","2026","2026 Q2","Jun 2026","Export","20ft dry","Lyttelton","1473","1473","26339"
"13","2026","2026 Q2","Jun 2026","Export","20ft dry","PrimePort Timaru","141","141","2514"
"14","2026","2026 Q2","Jun 2026","Export","20ft dry","Port Otago","657","657","12015"
"15","2026","2026 Q2","Jun 2026","Export","20ft dry","South Port","474","474","9763"
"16","2026","2026 Q2","Jun 2026","Export","20ft reefer","Port of Tauranga","18","0","0"
"17","2026","2026 Q2","Jun 2026","Export","20ft reefer","Napier Port","9","0","0"
"18","2026","2026 Q2","Jun 2026","Export","20ft reefer","CentrePort","1","0","0"
"19","2026","2026 Q2","Jun 2026","Export","20ft reefer","Lyttelton","17","0","0"
"20","2026","2026 Q2","Jun 2026","Export","20ft reefer","Port Otago","6","0","0"
"21","2026","2026 Q2","Jun 2026","Export","20ft reefer","Port of Tauranga","1547","1547","23669"
"22","2026","2026 Q2","Jun 2026","Export","20ft reefer","Napier Port","274","274","4054"
"23","2026","2026 Q2","Jun 2026","Export","20ft reefer","CentrePort","73","73","1037"
"24","2026","2026 Q2","Jun 2026","Export","20ft reefer","Port Nelson","37","37","503"
"25","2026","2026 Q2","Jun 2026","Export","20ft reefer","Lyttelton","320","320","4845"
"26","2026","2026 Q2","Jun 2026","Export","20ft reefer","PrimePort Timaru","30","30","474"
"27","2026","2026 Q2","Jun 2026","Export","20ft reefer","Port Otago","404","404","6398"
"28","2026","2026 Q2","Jun 2026","Export","20ft reefer","South Port","15","15","220"
"29","2026","2026 Q2","Jun 2026","Export","40ft dry","Port of Tauranga","2200","0","0"
"30","2026","2026 Q2","Jun 2026","Export","40ft dry","Napier Port","200","0","0"
"31","2026","2026 Q2","Jun 2026","Export","40ft dry","CentrePort","124","0","0"
"32","2026","2026 Q2","Jun 2026","Export","40ft dry","Lyttelton","756","0","0"
"33","2026","2026 Q2","Jun 2026","Export","40ft dry","PrimePort Timaru","54","0","0"
"34","2026","2026 Q2","Jun 2026","Export","40ft dry","Port Otago","252","0","0"
"35","2026","2026 Q2","Jun 2026","Export","40ft dry","South Port","12","0","0"
"36","2026","2026 Q2","Jun 2026","Export","40ft dry","Port of Tauranga","18964","18964","208154"
"37","2026","2026 Q2","Jun 2026","Export","40ft dry","Napier Port","3168","3168","37760"
"38","2026","2026 Q2","Jun 2026","Export","40ft dry","CentrePort","1900","1900","24477"
"39","2026","2026 Q2","Jun 2026","Export","40ft dry","Port Nelson","594","594","7317"
"40","2026","2026 Q2","Jun 2026","Export","40ft dry","Lyttelton","6804","6804","84233"
"41","2026","2026 Q2","Jun 2026","Export","40ft dry","PrimePort Timaru","148","148","1820"
"42","2026","2026 Q2","Jun 2026","Export","40ft dry","Port Otago","6232","6232","79749"
"43","2026","2026 Q2","Jun 2026","Export","40ft dry","South Port","804","804","9885"
"44","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port of Tauranga","574","0","0"
"45","2026","2026 Q2","Jun 2026","Export","40ft reefer","Napier Port","90","0","0"
"46","2026","2026 Q2","Jun 2026","Export","40ft reefer","CentrePort","4","0","0"
"47","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port Nelson","2","0","0"
"48","2026","2026 Q2","Jun 2026","Export","40ft reefer","Lyttelton","38","0","0"
"49","2026","2026 Q2","Jun 2026","Export","40ft reefer","PrimePort Timaru","6","0","0"
"50","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port Otago","72","0","0"
"51","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port of Tauranga","13864","13864","160304"
"52","2026","2026 Q2","Jun 2026","Export","40ft reefer","Napier Port","5372","5372","60211"
"53","2026","2026 Q2","Jun 2026","Export","40ft reefer","CentrePort","1284","1284","15229"
"54","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port Nelson","668","668","7447"
"55","2026","2026 Q2","Jun 2026","Export","40ft reefer","Lyttelton","2402","2402","29338"
"56","2026","2026 Q2","Jun 2026","Export","40ft reefer","PrimePort Timaru","480","480","5889"
"57","2026","2026 Q2","Jun 2026","Export","40ft reefer","Port Otago","4006","4006","47542"
