"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"1","Otago","2026 Q2","30","24.2","37.3","42406"
"2","Wellington","2026 Q2","34.78","23.63","38.89","31232"
"3","Napier","2026 Q2","35.08","21.08","48.25","46976"
"4","Lyttelton","2026 Q2","40.8","28","52","66308"
"5","Tauranga","2026 Q2","56","30.3","74.8","187283"
"6","Otago","2026 Q1","30.1","24.1","37.5","37097"
"7","Napier","2026 Q1","34.84","21.32","46.24","41829"
"8","Wellington","2026 Q1","38.79","26.69","44.26","26273"
"9","Lyttelton","2026 Q1","44.6","31.5","56.1","63881"
"10","Tauranga","2026 Q1","57.05","31.47","76.35","177989"
"11","Lyttelton","2025 Q4","43.3","31.1","54.9","63188"
"12","Otago","2025 Q4","31.8","26.5","38","33535"
"13","Napier","2025 Q4","29.3","22.5","41.8","28455"
"14","Wellington","2025 Q4","45.03","28.05","52.07","18875"
"15","Tauranga","2025 Q4","58.1","31.6","77.2","180164"
"16","Lyttelton","2025 Q3","46.1","31.2","60.3","67365"
"17","Napier","2025 Q3","30.3","20.9","41.5","35537"
"18","Otago","2025 Q3","32.5","24.8","42.7","31293"
"19","Tauranga","2025 Q3","55.8","30.02","77.14","194149"
"20","Wellington","2025 Q3","44.37","27.88","50.79","16102"
"21","Lyttelton","2025 Q2","45","30.6","58.4","69434"
"22","Napier","2025 Q2","31.1","20.4","42.4","46949"
"23","Auckland","2025 Q2","40.1","23.83","48.86","127930"
"24","Wellington","2025 Q2","49.86","30.01","57.9","13831"
"25","Otago","2025 Q2","33.3","23.7","46.8","41590"
"26","Tauranga","2025 Q2","45.9","28.8","66.7","193404"
"27","Wellington","2025 Q1","52.25","30.55","57.38","14735"
"28","Lyttelton","2025 Q1","41.7","31.1","54.5","61878"
"29","Auckland","2025 Q1","47.37","25.56","57.17","128969"
"30","Napier","2025 Q1","27.29","20.91","43.88","39697"
"31","Otago","2025 Q1","30.5","24.2","38.4","37104"
"32","Tauranga","2025 Q1","52.9","28.8","66","180505"
"33","Wellington","2024 Q4","49.85","29.69","57.01","14379"
"34","Otago","2024 Q4","28.4","25.8","31.2","35311"
"35","Auckland","2024 Q4","42.17","24.28","51.08","142037"
"36","Lyttelton","2024 Q4","47.8","30.5","63.1","71760"
"37","Tauranga","2024 Q4","55.9","30.4","66.3","186635"
"38","Napier","2024 Q4","29.76","22.25","42.22","44460"
"39","Wellington","2024 Q3","50.83","30.76","58.26","13725"
"40","Auckland","2024 Q3","40.3","24.46","50.19","132427"
"41","Tauranga","2024 Q3","58.03","29.37","70.68","186084"
"42","Otago","2024 Q3","37.5","26.5","53","32386"
"43","Lyttelton","2024 Q3","45.9","31.3","60.3","63893"
"44","Napier","2024 Q3","29.32","20.01","38.03","35993"
"45","Auckland","2024 Q2","40.78","24.35","50.54","127317"
"46","Otago","2024 Q2","32.4","23.5","44.6","45897"
"47","Lyttelton","2024 Q2","44.9","30.7","60","69102"
"48","Tauranga","2024 Q2","57.1","29.6","69.5","189160"
"49","Wellington","2024 Q2","49.77","29.1","63.9","19113"
"50","Napier","2024 Q2","28.63","19.5","38.11","41851"
"51","Auckland","2024 Q1","43","25.03","52.8","120381"
"52","Lyttelton","2024 Q1","46.9","31.1","63.4","68001"
"53","Tauranga","2024 Q1","60.03","30.2","74.12","182920"
"54","Wellington","2024 Q1","51.92","30.31","58.13","14333"
"55","Otago","2024 Q1","27.1","21","34.8","44209"
"56","Napier","2024 Q1","26.85","20.42","36.84","32657"
