year,teu,months_in_year,min_ports_reporting,prev_teu,yoy_pct,status
2012,1682781,12,9,,,complete
2013,1738887,12,9,1682781.0,3.3,complete
2014,1849716,12,9,1738887.0,6.4,complete
2015,1909552,12,9,1849716.0,3.2,complete
2016,2018291,12,9,1909552.0,5.7,complete
2017,2113281,12,8,2018291.0,4.7,incomplete
2018,2185393,12,9,2113281.0,3.4,complete
2019,2198600,12,9,2185393.0,0.6,complete
2020,2107727,12,9,2198600.0,-4.1,complete
2021,2181491,12,9,2107727.0,3.5,complete
2022,2126275,12,8,2181491.0,-2.5,incomplete
2023,2043388,12,9,2126275.0,-3.9,complete
2024,2203947,12,9,2043388.0,7.9,complete
2025,1919621,12,8,2203947.0,-12.9,incomplete
2026,922277,6,8,1919621.0,-52.0,incomplete
