port,month_num,month_name,avg_teu,seasonal_index
CentrePort,1,Jan,5500.0,106.1
CentrePort,2,Feb,4541.0,87.6
CentrePort,3,Mar,5938.0,114.5
CentrePort,4,Apr,5021.0,96.9
CentrePort,5,May,5411.0,104.4
CentrePort,6,Jun,5228.0,100.8
CentrePort,7,Jul,4663.0,89.9
CentrePort,8,Aug,4990.0,96.3
CentrePort,9,Sep,5082.0,98.0
CentrePort,10,Oct,5701.0,110.0
CentrePort,11,Nov,5435.0,104.8
CentrePort,12,Dec,4739.0,91.4
Lyttelton,1,Jan,18139.0,98.4
Lyttelton,2,Feb,17764.0,96.3
Lyttelton,3,Mar,18272.0,99.1
Lyttelton,4,Apr,17727.0,96.1
Lyttelton,5,May,18953.0,102.8
Lyttelton,6,Jun,18214.0,98.8
Lyttelton,7,Jul,17936.0,97.3
Lyttelton,8,Aug,17038.0,92.4
Lyttelton,9,Sep,17248.0,93.5
Lyttelton,10,Oct,19038.0,103.3
Lyttelton,11,Nov,19982.0,108.4
Lyttelton,12,Dec,20940.0,113.6
Napier Port,1,Jan,13730.0,96.0
Napier Port,2,Feb,14822.0,103.6
Napier Port,3,Mar,20493.0,143.3
Napier Port,4,Apr,20482.0,143.2
Napier Port,5,May,18972.0,132.7
Napier Port,6,Jun,16580.0,115.9
Napier Port,7,Jul,12292.0,85.9
Napier Port,8,Aug,11112.0,77.7
Napier Port,9,Sep,9807.0,68.6
Napier Port,10,Oct,10027.0,70.1
Napier Port,11,Nov,10412.0,72.8
Napier Port,12,Dec,12894.0,90.2
Port Nelson,1,Jan,2800.0,74.3
Port Nelson,2,Feb,3507.0,93.1
Port Nelson,3,Mar,4347.0,115.4
Port Nelson,4,Apr,4977.0,132.1
Port Nelson,5,May,5637.0,149.6
Port Nelson,6,Jun,4390.0,116.5
Port Nelson,7,Jul,3658.0,97.1
Port Nelson,8,Aug,3110.0,82.5
Port Nelson,9,Sep,3413.0,90.6
Port Nelson,10,Oct,3560.0,94.5
Port Nelson,11,Nov,2701.0,71.7
Port Nelson,12,Dec,3107.0,82.5
Port Otago,1,Jan,11775.0,111.5
Port Otago,2,Feb,11665.0,110.5
Port Otago,3,Mar,13119.0,124.3
Port Otago,4,Apr,12110.0,114.7
Port Otago,5,May,12206.0,115.6
Port Otago,6,Jun,10287.0,97.4
Port Otago,7,Jul,10544.0,99.9
Port Otago,8,Aug,6257.0,59.3
Port Otago,9,Sep,6711.0,63.6
Port Otago,10,Oct,9791.0,92.8
Port Otago,11,Nov,10205.0,96.7
Port Otago,12,Dec,12007.0,113.7
Port of Tauranga,1,Jan,53853.0,91.3
Port of Tauranga,2,Feb,51323.0,87.0
Port of Tauranga,3,Mar,59532.0,100.9
Port of Tauranga,4,Apr,58677.0,99.5
Port of Tauranga,5,May,62164.0,105.4
Port of Tauranga,6,Jun,60045.0,101.8
Port of Tauranga,7,Jul,61093.0,103.6
Port of Tauranga,8,Aug,56482.0,95.7
Port of Tauranga,9,Sep,55699.0,94.4
Port of Tauranga,10,Oct,63495.0,107.6
Port of Tauranga,11,Nov,62275.0,105.6
Port of Tauranga,12,Dec,63260.0,107.2
Ports of Auckland,1,Jan,44114.0,96.2
Ports of Auckland,2,Feb,43753.0,95.4
Ports of Auckland,3,Mar,40800.0,89.0
Ports of Auckland,4,Apr,43000.0,93.8
Ports of Auckland,5,May,47105.0,102.7
Ports of Auckland,6,Jun,44015.0,96.0
Ports of Auckland,7,Jul,47934.0,104.5
Ports of Auckland,8,Aug,47545.0,103.7
Ports of Auckland,9,Sep,49113.0,107.1
Ports of Auckland,10,Oct,49242.0,107.4
Ports of Auckland,11,Nov,48676.0,106.1
Ports of Auckland,12,Dec,44982.0,98.1
PrimePort Timaru,1,Jan,3800.0,106.8
PrimePort Timaru,2,Feb,3194.0,89.7
PrimePort Timaru,3,Mar,4098.0,115.1
PrimePort Timaru,4,Apr,3810.0,107.0
PrimePort Timaru,5,May,3974.0,111.6
PrimePort Timaru,6,Jun,3391.0,95.3
PrimePort Timaru,7,Jul,3398.0,95.5
PrimePort Timaru,8,Aug,2021.0,56.8
PrimePort Timaru,9,Sep,2511.0,70.6
PrimePort Timaru,10,Oct,3537.0,99.4
PrimePort Timaru,11,Nov,4129.0,116.0
PrimePort Timaru,12,Dec,4852.0,136.3
South Port,1,Jan,2675.0,92.1
South Port,2,Feb,3111.0,107.1
South Port,3,Mar,3571.0,122.9
South Port,4,Apr,2944.0,101.3
South Port,5,May,3745.0,128.9
South Port,6,Jun,2638.0,90.8
South Port,7,Jul,2095.0,72.1
South Port,8,Aug,2056.0,70.8
South Port,9,Sep,2200.0,75.7
South Port,10,Oct,2974.0,102.4
South Port,11,Nov,3495.0,120.3
South Port,12,Dec,3361.0,115.7
