year,port,teu,share_pct
2012,Port of Tauranga,642667,38.2
2012,Ports of Auckland,433421,25.8
2012,Lyttelton,202648,12.0
2012,Napier Port,138486,8.2
2012,Port Otago,123684,7.3
2012,CentrePort,63928,3.8
2012,South Port,30187,1.8
2012,Port Nelson,29116,1.7
2012,PrimePort Timaru,18644,1.1
2013,Port of Tauranga,573216,33.0
2013,Ports of Auckland,537188,30.9
2013,Lyttelton,212932,12.2
2013,Napier Port,149395,8.6
2013,Port Otago,127892,7.4
2013,CentrePort,59709,3.4
2013,Port Nelson,34382,2.0
2013,South Port,29509,1.7
2013,PrimePort Timaru,14664,0.8
2014,Ports of Auckland,612661,33.1
2014,Port of Tauranga,571006,30.9
2014,Lyttelton,224969,12.2
2014,Napier Port,152924,8.3
2014,Port Otago,117159,6.3
2014,CentrePort,67797,3.7
2014,Port Nelson,38038,2.1
2014,PrimePort Timaru,33653,1.8
2014,South Port,31509,1.7
2015,Port of Tauranga,630514,33.0
2015,Ports of Auckland,575562,30.1
2015,Lyttelton,199749,10.5
2015,Napier Port,169114,8.9
2015,Port Otago,118711,6.2
2015,CentrePort,74312,3.9
2015,PrimePort Timaru,59705,3.1
2015,Port Nelson,46657,2.4
2015,South Port,35228,1.8
2016,Port of Tauranga,737629,36.5
2016,Ports of Auckland,552502,27.4
2016,Lyttelton,213739,10.6
2016,Napier Port,181949,9.0
2016,Port Otago,119674,5.9
2016,CentrePort,73575,3.6
2016,PrimePort Timaru,61940,3.1
2016,Port Nelson,42792,2.1
2016,South Port,34491,1.7
2017,Port of Tauranga,802142,38.0
2017,Ports of Auckland,573087,27.1
2017,Lyttelton,227683,10.8
2017,Napier Port,200721,9.5
2017,Port Otago,131084,6.2
2017,Port Nelson,61107,2.9
2017,PrimePort Timaru,56947,2.7
2017,South Port,35522,1.7
2017,CentrePort,24988,1.2
2018,Port of Tauranga,838718,38.4
2018,Ports of Auckland,580263,26.6
2018,Lyttelton,236794,10.8
2018,Napier Port,184089,8.4
2018,Port Otago,135858,6.2
2018,CentrePort,63790,2.9
2018,Port Nelson,58739,2.7
2018,PrimePort Timaru,49404,2.3
2018,South Port,37738,1.7
2019,Port of Tauranga,867270,39.4
2019,Ports of Auckland,537540,24.4
2019,Lyttelton,251494,11.4
2019,Napier Port,196291,8.9
2019,Port Otago,139351,6.3
2019,CentrePort,64374,2.9
2019,Port Nelson,50806,2.3
2019,PrimePort Timaru,46752,2.1
2019,South Port,44722,2.0
2020,Port of Tauranga,848747,40.3
2020,Ports of Auckland,486043,23.1
2020,Lyttelton,231100,11.0
2020,Napier Port,192431,9.1
2020,Port Otago,131256,6.2
2020,CentrePort,66540,3.2
2020,PrimePort Timaru,54952,2.6
2020,Port Nelson,48387,2.3
2020,South Port,48271,2.3
2021,Port of Tauranga,894421,41.0
2021,Ports of Auckland,510585,23.4
2021,Lyttelton,278784,12.8
2021,Napier Port,190653,8.7
2021,Port Otago,117388,5.4
2021,CentrePort,75509,3.5
2021,Port Nelson,38703,1.8
2021,South Port,39436,1.8
2021,PrimePort Timaru,36012,1.7
2022,Port of Tauranga,923923,43.5
2022,Ports of Auckland,480945,22.6
2022,Lyttelton,270552,12.7
2022,Napier Port,172160,8.1
2022,Port Otago,127825,6.0
2022,CentrePort,61878,2.9
2022,Port Nelson,40956,1.9
2022,South Port,38498,1.8
2022,PrimePort Timaru,9538,0.4
2023,Port of Tauranga,808438,39.6
2023,Ports of Auckland,532892,26.1
2023,Lyttelton,258049,12.6
2023,Napier Port,137444,6.7
2023,Port Otago,137114,6.7
2023,CentrePort,59658,2.9
2023,South Port,42915,2.1
2023,Port Nelson,35571,1.7
2023,PrimePort Timaru,31307,1.5
2024,Port of Tauranga,866813,39.3
2024,Ports of Auckland,586059,26.6
2024,Lyttelton,263806,12.0
2024,Napier Port,157251,7.1
2024,Port Otago,150258,6.8
2024,CentrePort,61513,2.8
2024,South Port,46018,2.1
2024,Port Nelson,44163,2.0
2024,PrimePort Timaru,28066,1.3
