month_label,teu,roll12_teu,idx_vs_2019
Dec 2012,103095,104113.0,75.2
Jan 2013,95032,103855.0,75.0
Feb 2013,101169,104034.0,75.2
Mar 2013,117013,103504.0,74.8
Apr 2013,109642,103056.0,74.5
May 2013,114255,102835.0,74.3
Jun 2013,100101,102495.0,74.0
Jul 2013,88963,101227.0,73.1
Aug 2013,86252,100654.0,72.7
Sep 2013,86316,100133.0,72.3
Oct 2013,100106,100337.0,72.5
Nov 2013,99638,100132.0,72.3
Dec 2013,103212,100142.0,72.3
Jan 2014,96732,100283.0,72.4
Feb 2014,93729,99663.0,72.0
Mar 2014,119818,99897.0,72.2
Apr 2014,109584,99892.0,72.2
May 2014,110384,99570.0,71.9
Jun 2014,98769,99459.0,71.9
Jul 2014,98315,100238.0,72.4
Aug 2014,95580,101015.0,73.0
Sep 2014,92091,101497.0,73.3
Oct 2014,103212,101755.0,73.5
Nov 2014,105223,102221.0,73.8
Dec 2014,113618,103088.0,74.5
Jan 2015,105773,103841.0,75.0
Feb 2015,100030,104366.0,75.4
Mar 2015,121482,104505.0,75.5
Apr 2015,112697,104765.0,75.7
May 2015,117373,105347.0,76.1
Jun 2015,110998,106366.0,76.8
Jul 2015,112581,107555.0,77.7
Aug 2015,97425,107709.0,77.8
Sep 2015,99452,108322.0,78.3
Oct 2015,111137,108982.0,78.7
Nov 2015,116004,109881.0,79.4
Dec 2015,129038,111166.0,80.3
Jan 2016,112353,111714.0,80.7
Feb 2016,112724,112772.0,81.5
Mar 2016,132134,113660.0,82.1
Apr 2016,128678,114991.0,83.1
May 2016,134274,116400.0,84.1
Jun 2016,133356,118263.0,85.4
Jul 2016,119632,118851.0,85.9
Aug 2016,104295,119423.0,86.3
Sep 2016,103887,119793.0,86.5
Oct 2016,126247,121052.0,87.5
Nov 2016,122784,121617.0,87.9
Dec 2016,135425,122149.0,88.2
Jan 2017,122401,122986.0,88.8
Feb 2017,114272,123115.0,88.9
Mar 2017,133909,123263.0,89.0
Apr 2017,130076,123380.0,89.1
May 2017,145156,124287.0,89.8
Jun 2017,133334,124285.0,89.8
Jul 2017,132830,125385.0,90.6
Aug 2017,117037,126447.0,91.3
Sep 2017,116566,127503.0,92.1
Oct 2017,126817,127551.0,92.1
Nov 2017,130873,128225.0,92.6
Dec 2017,136923,128350.0,92.7
Jan 2018,132321,129176.0,93.3
Feb 2018,126567,130201.0,94.1
Mar 2018,133900,130200.0,94.1
Apr 2018,141898,131185.0,94.8
May 2018,149378,131537.0,95.0
Jun 2018,143597,132392.0,95.6
Jul 2018,139753,132969.0,96.1
Aug 2018,109857,132371.0,95.6
Sep 2018,118969,132571.0,95.8
Oct 2018,136989,133419.0,96.4
Nov 2018,132307,133538.0,96.5
Dec 2018,139594,133761.0,96.6
Jan 2019,129930,133562.0,96.5
Feb 2019,131895,134006.0,96.8
Mar 2019,153327,135625.0,98.0
Apr 2019,158388,136999.0,99.0
May 2019,160757,137947.0,99.7
Jun 2019,141838,137800.0,99.6
Jul 2019,129175,136919.0,98.9
Aug 2019,120931,137842.0,99.6
Sep 2019,111516,137221.0,99.1
Oct 2019,142810,137706.0,99.5
Nov 2019,140134,138358.0,100.0
Dec 2019,140359,138422.0,100.0
Jan 2020,134413,138795.0,100.3
Feb 2020,133224,138906.0,100.3
Mar 2020,141499,137920.0,99.6
Apr 2020,134684,135945.0,98.2
May 2020,148081,134889.0,97.4
Jun 2020,142327,134929.0,97.5
Jul 2020,131137,135093.0,97.6
Aug 2020,124025,135351.0,97.8
Sep 2020,107579,135023.0,97.5
Oct 2020,138988,134704.0,97.3
Nov 2020,134690,134251.0,97.0
Dec 2020,151037,135140.0,97.6
Jan 2021,126376,134471.0,97.1
Feb 2021,137594,134835.0,97.4
Mar 2021,149844,135530.0,97.9
Apr 2021,142659,136195.0,98.4
May 2021,146797,136088.0,98.3
Jun 2021,150102,136736.0,98.8
Jul 2021,142589,137690.0,99.5
Aug 2021,132394,138387.0,100.0
Sep 2021,134468,140628.0,101.6
Oct 2021,130168,139893.0,101.1
Nov 2021,142401,140536.0,101.5
Dec 2021,135514,139242.0,100.6
Jan 2022,128852,139449.0,100.7
Feb 2022,124554,138362.0,100.0
Mar 2022,136061,137213.0,99.1
Apr 2022,152077,137998.0,99.7
May 2022,146091,137939.0,99.7
Jun 2022,147606,137731.0,99.5
Jul 2022,140059,137520.0,99.3
Aug 2022,128268,137177.0,99.1
Sep 2022,137244,137408.0,99.3
Oct 2022,119843,136548.0,98.6
Nov 2022,138218,136199.0,98.4
Dec 2022,146457,137111.0,99.1
Jan 2023,121770,136521.0,98.6
Feb 2023,109893,135299.0,97.7
Mar 2023,133925,135121.0,97.6
Apr 2023,122126,132625.0,95.8
May 2023,149338,132896.0,96.0
Jun 2023,131592,131561.0,95.0
Jul 2023,133359,131003.0,94.6
Aug 2023,112838,129717.0,93.7
